code,name
SH000016,上证50
SH000300,沪深300
SH000905,中证500
SH000852,中证1000
CSI932000,中证2000
SZ399006,创业板指
SH000688,科创50
SH000991,全指医药
SZ399989,中证医疗
CSI931152,CS创新药
SZ399971,中证传媒
SZ399973,中证国防
CSIH30184,半导体
SZ980017,国证芯片
HKHSI,恒生指数
HKHSTECH,恒生科技指数
CSIH30533,中国互联网50
CSIH30590,机器人
SZ399975,证券公司
CSI930901,动漫游戏
SZ399986,中证银行
SH000922,中证红利
SZ980092,自由现金流
SZ399967,中证军工
CSI931151,光伏产业
SZ399987,中证酒
SZ399812,养老产业
SH000012,国债指数
SH000001,上证指数
SZ399001,深证成指
SZ399005,中小板指
SZ399002,中证1000
SZ399003,沪深300增强
SZ399004,深证综指
